freq_hz,diff_nette_dB
1640.625,-0.0810
1642.090,-0.0938
1643.555,-0.0645
1645.020,-0.0802
1646.484,-0.0885
1647.949,-0.0534
1649.414,-0.0567
1650.879,-0.0913
1652.344,-0.0600
1653.809,-0.0581
1655.273,-0.0610
1656.738,-0.0761
1658.203,-0.0957
1659.668,-0.0728
1661.133,-0.0533
1662.598,-0.0463
1664.062,-0.0637
1665.527,-0.0859
1666.992,-0.0957
1668.457,-0.0818
1669.922,-0.0855
1671.387,-0.0890
1672.852,-0.0898
1674.316,-0.0843
1675.781,-0.0705
1677.246,-0.0549
1678.711,-0.0363
1680.176,-0.0533
1681.641,-0.0680
1683.105,-0.0823
1684.570,-0.0908
1686.035,-0.0789
1687.500,-0.0833
1688.965,-0.1016
1690.430,-0.1036
1691.895,-0.0917
1693.359,-0.0810
1694.824,-0.0795
1696.289,-0.0774
1697.754,-0.0734
1699.219,-0.0764
1700.684,-0.0754
1702.148,-0.0745
1703.613,-0.0796
1705.078,-0.0828
1706.543,-0.0857
1708.008,-0.0816
1709.473,-0.0861
1710.938,-0.0824
1712.402,-0.0639
1713.867,-0.0637
1715.332,-0.0750
1716.797,-0.0706
1718.262,-0.0601
1719.727,-0.0623
1721.191,-0.0818
1722.656,-0.0926
1724.121,-0.0897
1725.586,-0.0835
1727.051,-0.0766
1728.516,-0.0424
1729.980,-0.0404
1731.445,-0.0713
1732.910,-0.0864
1734.375,-0.0742
1735.840,-0.0575
1737.305,-0.0712
1738.770,-0.0674
1740.234,-0.1136
1741.699,-0.0953
1743.164,-0.0646
1744.629,-0.0842
1746.094,-0.0707
1747.559,-0.1077
1749.023,-0.0806
1750.488,-0.0968
1751.953,-0.0700
1753.418,-0.0818
1754.883,-0.0674
1756.348,-0.0869
1757.812,-0.1044
1759.277,-0.0820
1760.742,-0.0536
1762.207,-0.0819
1763.672,-0.0822
1765.137,-0.0696
1766.602,-0.0806
1768.066,-0.0701
1769.531,-0.0978
1770.996,-0.0957
1772.461,-0.0971
1773.926,-0.0583
1775.391,-0.0772
1776.855,-0.0804
1778.320,-0.0974
1779.785,-0.0805
1781.250,-0.0722
1782.715,-0.0746
1784.180,-0.0671
1785.645,-0.0671
1787.109,-0.0860
1788.574,-0.0973
1790.039,-0.0626
1791.504,-0.0566
1792.969,-0.0560
1794.434,-0.0976
1795.898,-0.0982
1797.363,-0.1060
1798.828,-0.0905
1800.293,-0.0848
1801.758,-0.0867
1803.223,-0.0881
1804.688,-0.0860
1806.152,-0.0662
1807.617,-0.0677
1809.082,-0.0935
1810.547,-0.0796
1812.012,-0.0625
1813.477,-0.0656
1814.941,-0.0721
1816.406,-0.0768
1817.871,-0.0798
1819.336,-0.0879
1820.801,-0.0878
1822.266,-0.0801
1823.730,-0.0749
1825.195,-0.0742
1826.660,-0.0684
1828.125,-0.0734
1829.590,-0.0989
1831.055,-0.1147
1832.520,-0.1047
1833.984,-0.0790
1835.449,-0.0652
1836.914,-0.0802
1838.379,-0.0835
1839.844,-0.0704
1841.309,-0.0760
1842.773,-0.0744
1844.238,-0.0634
1845.703,-0.0681
1847.168,-0.0710
1848.633,-0.0766
1850.098,-0.0885
1851.562,-0.0956
1853.027,-0.0927
1854.492,-0.0714
1855.957,-0.0551
1857.422,-0.0584
1858.887,-0.0662
1860.352,-0.0778
1861.816,-0.0891
1863.281,-0.0754
1864.746,-0.0679
1866.211,-0.0660
1867.676,-0.0840
1869.141,-0.0930
1870.605,-0.0960
1872.070,-0.0782
1873.535,-0.0670
1875.000,-0.0697
1876.465,-0.0638
1877.930,-0.0785
1879.395,-0.0749
1880.859,-0.0705
1882.324,-0.0571
1883.789,-0.0576
1885.254,-0.0786
1886.719,-0.0774
1888.184,-0.0781
1889.648,-0.0653
1891.113,-0.0942
1892.578,-0.0812
1894.043,-0.0714
1895.508,-0.0809
1896.973,-0.1082
1898.438,-0.0854
1899.902,-0.0544
1901.367,-0.0759
1902.832,-0.0578
1904.297,-0.0705
1905.762,-0.0871
1907.227,-0.0567
1908.691,-0.0598
1910.156,-0.0497
1911.621,-0.0791
1913.086,-0.0606
1914.551,-0.0753
1916.016,-0.0720
1917.480,-0.0164
1918.945,-0.0602
1920.410,-0.0653
1921.875,-0.0469
1923.340,-0.0925
1924.805,-0.0654
1926.270,-0.0851
1927.734,-0.0703
1929.199,-0.0856
1930.664,-0.0622
1932.129,-0.0484
1933.594,-0.0785
1935.059,-0.0693
1936.523,-0.0729
1937.988,-0.0930
1939.453,-0.0955
1940.918,-0.1020
1942.383,-0.0861
1943.848,-0.0671
1945.312,-0.0880
1946.777,-0.0814
1948.242,-0.0895
1949.707,-0.0894
1951.172,-0.0772
1952.637,-0.0816
1954.102,-0.0658
1955.566,-0.0678
1957.031,-0.0719
1958.496,-0.0757
1959.961,-0.0530
1961.426,-0.0615
