freq_hz,gain_dB,coherence
1250.977,-54.6438,0.9998
1252.441,-54.6459,0.9998
1253.906,-54.6361,0.9998
1255.371,-54.6485,0.9998
1256.836,-54.6544,0.9998
1258.301,-54.6107,0.9997
1259.766,-54.6159,0.9994
1261.230,-54.6279,0.9996
1262.695,-54.6201,0.9997
1264.160,-54.6038,0.9997
1265.625,-54.6016,0.9997
1267.090,-54.6111,0.9997
1268.555,-54.6019,0.9996
1270.020,-54.6090,0.9997
1271.484,-54.6120,0.9996
1272.949,-54.6001,0.9997
1274.414,-54.6006,0.9997
1275.879,-54.5938,0.9996
1277.344,-54.5928,0.9997
1278.809,-54.5919,0.9997
1280.273,-54.5924,0.9997
1281.738,-54.5897,0.9997
1283.203,-54.5957,0.9997
1284.668,-54.5703,0.9998
1286.133,-54.5554,0.9997
1287.598,-54.5590,0.9998
1289.062,-54.5722,0.9998
1290.527,-54.5663,0.9998
1291.992,-54.5599,0.9998
1293.457,-54.5785,0.9998
1294.922,-54.5773,0.9998
1296.387,-54.5726,0.9998
1297.852,-54.5768,0.9999
1299.316,-54.5851,0.9998
1300.781,-54.5711,0.9998
1302.246,-54.5865,0.9999
1303.711,-54.5888,0.9998
1305.176,-54.5806,0.9998
1306.641,-54.5880,0.9999
1308.105,-54.5957,0.9998
1309.570,-54.5852,0.9999
1311.035,-54.5867,0.9999
1312.500,-54.5855,0.9999
1313.965,-54.5900,0.9999
1315.430,-54.5905,0.9999
1316.895,-54.5867,0.9998
1318.359,-54.5847,0.9996
1319.824,-54.5911,0.9996
1321.289,-54.5931,0.9998
1322.754,-54.5918,0.9999
1324.219,-54.5978,0.9999
1325.684,-54.6036,0.9999
1327.148,-54.6094,0.9999
1328.613,-54.6202,0.9999
1330.078,-54.6274,0.9999
1331.543,-54.6233,0.9999
1333.008,-54.6179,0.9999
1334.473,-54.6155,0.9999
1335.938,-54.6156,0.9999
1337.402,-54.6164,0.9999
1338.867,-54.6167,0.9999
1340.332,-54.6240,0.9999
1341.797,-54.6278,0.9999
1343.262,-54.6153,0.9999
1344.727,-54.6215,0.9999
1346.191,-54.6320,0.9999
1347.656,-54.6137,0.9998
1349.121,-54.6200,0.9998
1350.586,-54.6320,0.9999
1352.051,-54.6255,0.9999
