freq_hz,diff_nette_dB
1371.094,-0.0711
1372.559,-0.0714
1374.023,-0.0717
1375.488,-0.0719
1376.953,-0.0722
1378.418,-0.0726
1379.883,-0.0728
1381.348,-0.0732
1382.812,-0.0736
1384.277,-0.0739
1385.742,-0.0742
1387.207,-0.0747
1388.672,-0.0749
1390.137,-0.0752
1391.602,-0.0754
1393.066,-0.0755
1394.531,-0.0758
1395.996,-0.0760
1397.461,-0.0761
1398.926,-0.0762
1400.391,-0.0761
1401.855,-0.0762
1403.320,-0.0763
1404.785,-0.0762
1406.250,-0.0761
1407.715,-0.0761
1409.180,-0.0760
1410.645,-0.0759
1412.109,-0.0759
1413.574,-0.0758
1415.039,-0.0757
1416.504,-0.0756
1417.969,-0.0754
1419.434,-0.0752
1420.898,-0.0751
1422.363,-0.0750
1423.828,-0.0748
1425.293,-0.0746
1426.758,-0.0745
1428.223,-0.0744
1429.688,-0.0742
1431.152,-0.0740
1432.617,-0.0739
1434.082,-0.0737
1435.547,-0.0735
1437.012,-0.0734
1438.477,-0.0731
1439.941,-0.0729
1441.406,-0.0729
1442.871,-0.0728
1444.336,-0.0726
1445.801,-0.0724
1447.266,-0.0723
1448.730,-0.0721
1450.195,-0.0720
1451.660,-0.0717
1453.125,-0.0716
1454.590,-0.0715
1456.055,-0.0713
1457.520,-0.0712
1458.984,-0.0711
1460.449,-0.0709
1461.914,-0.0707
1463.379,-0.0706
1464.844,-0.0706
1466.309,-0.0705
1467.773,-0.0704
1469.238,-0.0702
1470.703,-0.0701
1472.168,-0.0701
1473.633,-0.0701
1475.098,-0.0700
1476.562,-0.0701
1478.027,-0.0702
1479.492,-0.0702
1480.957,-0.0702
1482.422,-0.0703
1483.887,-0.0704
1485.352,-0.0706
1486.816,-0.0708
1488.281,-0.0711
1489.746,-0.0713
1491.211,-0.0716
1492.676,-0.0718
1494.141,-0.0720
1495.605,-0.0724
1497.070,-0.0728
1498.535,-0.0730
1500.000,-0.0733
1501.465,-0.0737
1502.930,-0.0741
1504.395,-0.0743
1505.859,-0.0746
1507.324,-0.0750
1508.789,-0.0752
1510.254,-0.0754
1511.719,-0.0755
1513.184,-0.0757
1514.648,-0.0759
1516.113,-0.0761
1517.578,-0.0762
1519.043,-0.0763
1520.508,-0.0763
1521.973,-0.0763
1523.438,-0.0763
1524.902,-0.0762
1526.367,-0.0762
1527.832,-0.0762
1529.297,-0.0762
1530.762,-0.0762
1532.227,-0.0761
1533.691,-0.0759
1535.156,-0.0760
1536.621,-0.0759
1538.086,-0.0756
1539.551,-0.0755
1541.016,-0.0753
1542.480,-0.0752
1543.945,-0.0751
1545.410,-0.0750
1546.875,-0.0749
1548.340,-0.0747
1549.805,-0.0745
1551.270,-0.0744
1552.734,-0.0743
1554.199,-0.0741
1555.664,-0.0740
1557.129,-0.0738
1558.594,-0.0738
1560.059,-0.0737
1561.523,-0.0734
1562.988,-0.0732
1564.453,-0.0730
1565.918,-0.0728
1567.383,-0.0727
1568.848,-0.0726
1570.312,-0.0724
1571.777,-0.0723
1573.242,-0.0721
1574.707,-0.0719
1576.172,-0.0718
1577.637,-0.0716
1579.102,-0.0715
1580.566,-0.0713
1582.031,-0.0712
1583.496,-0.0710
1584.961,-0.0709
1586.426,-0.0709
1587.891,-0.0707
1589.355,-0.0706
1590.820,-0.0704
1592.285,-0.0704
1593.750,-0.0703
1595.215,-0.0702
1596.680,-0.0702
1598.145,-0.0701
1599.609,-0.0702
1601.074,-0.0702
1602.539,-0.0702
1604.004,-0.0702
1605.469,-0.0701
1606.934,-0.0703
1608.398,-0.0704
1609.863,-0.0705
1611.328,-0.0705
1612.793,-0.0707
1614.258,-0.0711
1615.723,-0.0710
1617.188,-0.0714
1618.652,-0.0717
1620.117,-0.0720
1621.582,-0.0721
1623.047,-0.0724
1624.512,-0.0728
1625.977,-0.0731
1627.441,-0.0734
1628.906,-0.0737
1630.371,-0.0740
1631.836,-0.0743
1633.301,-0.0745
1634.766,-0.0748
1636.230,-0.0750
1637.695,-0.0753
1639.160,-0.0755
1640.625,-0.0757
1642.090,-0.0758
1643.555,-0.0760
1645.020,-0.0760
1646.484,-0.0761
1647.949,-0.0761
1649.414,-0.0762
1650.879,-0.0762
1652.344,-0.0762
1653.809,-0.0763
1655.273,-0.0762
1656.738,-0.0762
1658.203,-0.0761
1659.668,-0.0761
1661.133,-0.0761
1662.598,-0.0761
1664.062,-0.0759
1665.527,-0.0758
1666.992,-0.0757
1668.457,-0.0756
1669.922,-0.0755
1671.387,-0.0754
1672.852,-0.0753
1674.316,-0.0752
1675.781,-0.0751
1677.246,-0.0750
1678.711,-0.0750
1680.176,-0.0747
1681.641,-0.0745
1683.105,-0.0743
1684.570,-0.0742
1686.035,-0.0741
1687.500,-0.0740
1688.965,-0.0739
1690.430,-0.0737
1691.895,-0.0736
1693.359,-0.0735
1694.824,-0.0733
1696.289,-0.0732
1697.754,-0.0730
1699.219,-0.0728
1700.684,-0.0727
1702.148,-0.0726
1703.613,-0.0724
1705.078,-0.0722
1706.543,-0.0721
1708.008,-0.0720
1709.473,-0.0719
1710.938,-0.0717
1712.402,-0.0716
1713.867,-0.0715
1715.332,-0.0714
1716.797,-0.0713
1718.262,-0.0711
1719.727,-0.0709
