freq_hz,gain_dB,coherence
1019.531,-10.7111,1.0000
1020.996,-10.7127,1.0000
1022.461,-10.7144,1.0000
1023.926,-10.7164,1.0000
1025.391,-10.7184,1.0000
1026.855,-10.7205,1.0000
1028.320,-10.7228,1.0000
1029.785,-10.7251,1.0000
1031.250,-10.7274,1.0000
1032.715,-10.7297,1.0000
1034.180,-10.7320,1.0000
1035.645,-10.7344,1.0000
1037.109,-10.7367,1.0000
1038.574,-10.7390,1.0000
1040.039,-10.7414,1.0000
1041.504,-10.7438,1.0000
1042.969,-10.7461,1.0000
1044.434,-10.7484,1.0000
1045.898,-10.7505,1.0000
1047.363,-10.7527,1.0000
1048.828,-10.7548,1.0000
1050.293,-10.7568,1.0000
1051.758,-10.7588,1.0000
1053.223,-10.7606,1.0000
1054.688,-10.7624,1.0000
1056.152,-10.7639,1.0000
1057.617,-10.7654,1.0000
1059.082,-10.7668,1.0000
1060.547,-10.7678,1.0000
1062.012,-10.7685,1.0000
1063.477,-10.7688,1.0000
1064.941,-10.7687,1.0000
1066.406,-10.7682,0.9999
1067.871,-10.7673,0.9999
1069.336,-10.7659,0.9999
1070.801,-10.7640,0.9999
1072.266,-10.7614,0.9999
1073.730,-10.7582,0.9999
1075.195,-10.7548,0.9999
1076.660,-10.7511,0.9999
1078.125,-10.7466,0.9999
1079.590,-10.7421,0.9999
1081.055,-10.7374,0.9999
1082.520,-10.7328,0.9999
1083.984,-10.7284,0.9999
1085.449,-10.7239,0.9999
1086.914,-10.7202,0.9999
1088.379,-10.7169,0.9999
1089.844,-10.7137,0.9999
1091.309,-10.7111,0.9999
1092.773,-10.7092,0.9999
1094.238,-10.7077,0.9999
1095.703,-10.7067,0.9999
1097.168,-10.7063,1.0000
1098.633,-10.7060,1.0000
1100.098,-10.7061,1.0000
1101.562,-10.7067,1.0000
1103.027,-10.7075,1.0000
1104.492,-10.7086,1.0000
1105.957,-10.7099,1.0000
1107.422,-10.7111,1.0000
1108.887,-10.7128,1.0000
1110.352,-10.7145,1.0000
1111.816,-10.7163,1.0000
1113.281,-10.7183,1.0000
1114.746,-10.7203,1.0000
1116.211,-10.7224,1.0000
1117.676,-10.7244,1.0000
1119.141,-10.7266,1.0000
1120.605,-10.7286,1.0000
1122.070,-10.7309,1.0000
1123.535,-10.7331,1.0000
1125.000,-10.7354,1.0000
1126.465,-10.7376,1.0000
1127.930,-10.7399,1.0000
1129.395,-10.7421,1.0000
1130.859,-10.7444,1.0000
1132.324,-10.7466,1.0000
1133.789,-10.7490,1.0000
1135.254,-10.7511,1.0000
1136.719,-10.7534,1.0000
1138.184,-10.7554,1.0000
1139.648,-10.7575,1.0000
1141.113,-10.7594,1.0000
1142.578,-10.7612,1.0000
1144.043,-10.7629,1.0000
1145.508,-10.7643,1.0000
1146.973,-10.7658,1.0000
1148.438,-10.7670,1.0000
1149.902,-10.7680,1.0000
1151.367,-10.7688,1.0000
1152.832,-10.7692,1.0000
1154.297,-10.7692,1.0000
1155.762,-10.7690,1.0000
1157.227,-10.7684,0.9999
1158.691,-10.7675,0.9999
1160.156,-10.7663,0.9999
1161.621,-10.7643,0.9999
1163.086,-10.7620,0.9999
1164.551,-10.7593,0.9999
1166.016,-10.7562,0.9999
1167.480,-10.7527,0.9999
1168.945,-10.7489,0.9999
1170.410,-10.7448,0.9999
1171.875,-10.7406,0.9999
1173.340,-10.7364,0.9999
1174.805,-10.7321,0.9999
1176.270,-10.7279,0.9999
1177.734,-10.7240,0.9999
1179.199,-10.7203,0.9999
1180.664,-10.7170,0.9999
1182.129,-10.7142,0.9999
1183.594,-10.7118,0.9999
1185.059,-10.7096,0.9999
1186.523,-10.7079,0.9999
1187.988,-10.7069,0.9999
1189.453,-10.7062,1.0000
1190.918,-10.7057,1.0000
1192.383,-10.7057,1.0000
1193.848,-10.7058,1.0000
1195.312,-10.7063,1.0000
1196.777,-10.7071,1.0000
1198.242,-10.7081,1.0000
